TYPE,"WEIGHT
(kg/m)","Diameter
(mm)","Wall
thickness
(mm)","WALL
THICKNESS
(MM)"
21.3 x 3.2 CHS,"1,4","21,3","3,2",2
26.9 x 3.2 CHS,"1,9","26,9","3,2",2.5
33.7 x 2.6 CHS,"2,0","33,7","2,6",2
33.7 x 3.2 CHS,"2,4","33,7","3,2",2.5
33.7 x 4 CHS,"2,9","33,7",4,3
42.4 x 2.6 CHS,"2,6","42,4","2,6",2
42.4 x 3.2 CHS,"3,1","42,4","3,2",2.5
42.4 x 4 CHS,"3,8","42,4",4,3
48.3 x 3.2 CHS,"3,6","48,3","3,2",2.5
48.3 x 4 CHS,"4,4","48,3",4,3
48.3 x 5 CHS,"5,3","48,3",5,3.2
60.3 x 3.2 CHS,"4,5","60,3","3,2",3.6
60.3 x 4 CHS,"5,6","60,3",4,4
60.3 x 5 CHS,"6,8","60,3",5,5
76.1 x 3.2 CHS,"5,8","76,1","3,2",2.5
76.1 x 4 CHS,"7,1","76,1",4,3
76.1 x 5 CHS,"8,8","76,1",5,3.2
88.9 x 3.2 CHS,"6,8","88,9","3,2",3.6
88.9 x 4 CHS,"8,4","88,9",4,4
88.9 x 5 CHS,"10,3","88,9",5,5
114.3 x 3.6 CHS,"9,8",114.3,"3,6",6
114.3 x 5 CHS,"13,5",114.3,5,6.3
114.3 x 6.3 CHS,"16,8",114.3,"6,3",2.5
139.7 x 5 CHS,"16,6","139,7",5,3
139.7 x 6.3 CHS,"20,7","139,7","6,3",3.2
139.7 x 8 CHS,"26,0","139,7",8,3.6
139.7 x 10 CHS,"32,0","139,7",10,4
168.3 x 5 CHS,"20,1",168.3,5,5
168.3 x 6.3 CHS,"25,2",168.3,"6,3",6
168.3 x 8 CHS,"31,6",168.3,8,6.3
168.3 x 10 CHS,"39,0",168.3,10,8
193.7 x 5 CHS,"23,3","193,7",5,3
193.7 x 5.4 CHS,"25,1","193,7","5,4",3.2
193.7 x 6.3 CHS,"29,1","193,7","6,3",3.6
193.7 x 8 CHS,"36,6","193,7",8,4
193.7 x 10 CHS,"45,3","193,7",10,5
193.7 x 12.5 CHS,"55,9","193,7","12,5",6
193.7 x 16 CHS,"70,1","193,7",16,6.3
219.1 x 5 CHS,"26,4","219,1",5,8
219.1 x 6.3 CHS,"33,1","219,1","6,3",3
219.1 x 8 CHS,"41,6","219,1",8,3.2
219.1 x 10 CHS,"51,6","219,1",10,3.6
219.1 x 12.5 CHS,"63,7","219,1","12,5",4
219.1 x 16 CHS,"80,1","219,1",16,5
219.1 x 20 CHS,"88,2","219,1",20,6
244.5 x 6.3 CHS,"37,0",244.5,"6,3",6.3
244.5 x 8 CHS,"46,7",244.5,8,8
244.5 x 10 CHS,"57,8",244.5,10,5
244.5 x 12.5 CHS,"71,5",244.5,"12,5",6
244.5 x 16 CHS,"90,2",244.5,16,6.3
244.5 x 20 CHS,"111,0",244.5,20,8
273 x 6.3 CHS,"41,4",273,"6,3",3.6
273 x 8 CHS,"52,3",273,8,4
273 x 10 CHS,"64,9",273,10,5
273 x 12.5 CHS,"80,3",273,"12,5",6
273 x 16 CHS,"101,0",273,16,6.3
273 x 20 CHS,"125,0",273,20,8
273 x 25 CHS,"153,0",273,25,10
323.9 x 6.3 CHS,"49,3","323,9","6,3",4
323.9 x 8 CHS,"62,3","323,9",8,5
323.9 x 10 CHS,"77,4","323,9",10,6
323.9 x 12.5 CHS,"96,0","323,9","12,5",6.3
323.9 x 16 CHS,"121,0","323,9",16,8
323.9 x 20 CHS,"150,0","323,9",20,10
323..9 x 25 CHS,"184,0","323,9",25,12
355.6 x 8 CHS,"68,6","355,6",8,12.5
355.6 x 10 CHS,"85,2","355,6",10,5
355.6 x 12.5 CHS,"106,0","355,6","12,5",6
355.6 x 16 CHS,"134,0","355,6",16,6.3
355.6 x 20 CHS,"166,0","355,6",20,8
355.6 x 25 CHS,"204,0","355,6",25,10
406.4 x 10 CHS,"97,8","406,4",10,12
406.4 x 12.5 CHS,"121,0","406,4","12,5",12.5
406.4 x 16 CHS,"154,0","406,4",16,5
406 x 20 CHS,"191,0","406,4",20,6
406.4 x 25 CHS,"235,0","406,4",25,6.3
406.4 x 32 CHS,"295,0","406,4",32,8
457 x 10 CHS,"110,0",457,10,10
457 x 12.5 CHS,"137,0",457,"12,5",12
457 x 16 CHS,"174,0",457,16,12.5
457 x 20 CHS,"216,0",457,20,16
457 x 25 CHS,"266,0",457,25,5
457 x 32 CHS,"335,0",457,32,6
457 x 40 CHS,"411,0",457,40,6.3
160 x 160 x 8 SHS,37.6,160,160,8
160 x 160 x 10 SHS,46.3,160,160,10
160 x 160 x 12 SHS,54.6,160,160,12
160 x 160 x 12.5 SHS,56.6,160,160,12.5
160 x 160 x 16 SHS,70.2,160,160,16
180 x 180 x 5 SHS,27.3,180,180,5
180 x 180 x 6 SHS,32.5,180,180,6
180 x 180 x 6.3 SHS,34,180,180,6.3
180 x 180 x 8 SHS,42.7,180,180,8
180 x 180 x 10 SHS,52.5,180,180,10
180 x 180 x 12 SHS,62.1,180,180,12
180 x 180 x 12.5 SHS,64.4,180,180,12.5
180 x 180 x 16 SHS,80.2,180,180,16
200 x 200 x 5 SHS,30.4,200,200,5
200 x 200 x 6 SHS,36.2,200,200,6
200 x 200 x 6.3 SHS,38,200,200,6.3
200 x 200 x 8 SHS,47.7,200,200,8
200 x 200 x 10 SHS,58.8,200,200,10
200 x 200 x 12 SHS,69.6,200,200,12
200 x 200 x 12.5 SHS,72.3,200,200,12.5
200 x 200 x 16 SHS,90.3,200,200,16
220 x 220 x 6 SHS,"40,0",220,220,6
220 x 220 x 6.3 SHS,"41,9",220,220,"6,3"
220 x 220 x 8 SHS,"52,7",220,220,8
220 x 220 x 10 SHS,"65,1",220,220,10
220 x 220 x 12 SHS,"77,2",220,220,12
220 x 220 x 12.5 SHS,"80,1",220,220,"12,5"
220 x 220 x 16 SHS,"100,0",220,220,16
250 x 250 x 5 SHS,"38,3",250,250,5
250 x 250 x 6 SHS,"45,7",250,250,6
250 x 250 x 6.3 SHS,"47,9",250,250,"6,3"
250 x 250 x 8 SHS,"60,3",250,250,8
250 x 250 x 10 SHS,"74,5",250,250,10
250 x 250 x 12 SHS,"88,5",250,250,12
250 x 250 x 12.5 SHS,"91,9",250,250,"12,5"
250 x 250 x 16 SHS,"115,0",250,250,16
260 x 260 x 6 SHS,"47,6",260,260,6
260 x 260 x 6.3 SHS,"49,9",260,260,"6,3"
260 x 260 x 6.3 SHS,"49,9",260,260,"6,3"
260 x 260 x 8 SHS,"62,8",260,260,8
260 x 260 x 10 SHS,"77,7",260,260,10
260 x 260 x 12 SHS,"92,2",260,260,12
260 x 260 x 12.5 SHS,"95,8",260,260,"12,5"
260 x 260 x 16 SHS,"120,0",260,260,16
300 x 300 x 6 SHS,"55,1",300,300,6
300 x 300 x 6.3 SHS,"57,8",300,300,"6,3"
300 x 300 x 8 SHS,"72,8",300,300,8
300 x 300 x 10 SHS,"90,2",300,300,10
300 x 300 x 12 SHS,"107,0",300,300,12
300 x 300 x 12.5 SHS,"112,0",300,300,"12,5"
300 x 300 x 16 SHS,"141,0",300,300,16
350 x 350 x 8 SHS,"85,4",350,350,8
350 x 350 x 10 SHS,"106,0",350,350,10
350 x 350 x 12 SHS,"126,0",350,350,12
350 x 350 x 12.5 SHS,"131,0",350,350,"12,5"
350 x 350 x 16 SHS,"166,0",350,350,16
400 x 400 x 8 SHS,"97,9",400,400,8
400 x 400 x 10 SHS,"122,0",400,400,10
400 x 400 x 12 SHS,"145,0",400,400,12
400 x 400 x 12.5 SHS,"151,0",400,400,"12,5"
400 x 400 x 16 SHS,"191,0",400,400,16
400 x 400 x 20 SHS,"235,0",400,400,20
