TYPE,"WEIGHT
(KG/M)","width
(MM)","THICKNESS
(MM)"
40 x 3 flat,"0,9",40,3
40 x 5 flat,"1,6",40,5
40 x 6 flat,"1,9",40,6
40 x 8 flat,"2,5",40,8
40 x 10 flat,"3,1",40,10
40 x 12 flat,"3,8",40,12
40 x 15 flat,"4,7",40,15
40 x 20 flat,"6,3",40,20
40 x 25 flat,"7,9",40,25
40 x 30 flat,"9,4",40,30
45 x 3 flat,"1,1",45,3
45 x 5 flat,"2,8",45,8
45 x 6 flat,"1,8",45,5
45 x 8 flat,"2,1",45,6
45 x 10 flat,"3,5",45,10
45 x 12 flat,"4,2",45,12
45 x 15 flat,"5,3",45,15
45 x 20 flat,"7,1",45,20
45 x 25 flat,"8,8",45,25
50 x 3 flat,"1,2",50,3
50 x 5 flat,"2,0",50,5
50 x 6 flat,"2,4",50,6
50 x 8 flat,"3,1",50,8
50 x 10 flat,"3,9",50,10
50 x 12 flat,"4,7",50,12
50 x 15 flat,"5,9",50,15
50 x 20 flat,"7,9",50,20
50 x 25 flat,"9,8",50,25
50 x 30 flat,"11,8",50,30
50 x 40 flat,"15,7",50,40
60 x 5 flat,"2,4",60,5
60 x 6 flat,"2,8",60,6
60 x 8 flat,"3,8",60,8
60 x 10 flat,"4,7",60,10
60 x 12 flat,"5,7",60,12
60 x 15 flat,"7,1",60,15
60 x 20 flat,"9,4",60,20
60 x 25 flat,"11,8",60,25
60 x 30 flat,"14,1",60,30
65 x 5 flat,"2,6",65,5
65 x 6 flat,"3,1",65,6
65 x 8 flat,"4,1",65,8
65 x 10 flat,"5,1",65,10
65 x 12 flat,"6,1",65,12
65 x 15 flat,"7,7",65,15
65 x 20 flat,"10,2",65,20
65 x 25 flat,"12,8",65,25
65 x 40 flat,"20,4",65,40
65 x 50 flat,"25,5",65,50
70 x 6 flat,"3,3",70,6
70 x 8 flat,"4,4",70,8
70 x 10 flat,"5,5",70,10
70 x 12 flat,"6,6",70,12
70 x 15 flat,"8,2",70,15
70 x 20 flat,"11,0",70,20
70 x 25 flat,"13,7",70,25
70 x 30 flat,"16,5",70,30
70 x 40 flat,"22,0",70,40
75 x 6 flat,"3,5",75,6
75 x 8 flat,"4,7",75,8
75 x 10 flat,"5,9",75,10
75 x 12 flat,"7,1",75,12
75 x 15 flat,"8,8",75,15
75 x 20 flat,"11,8",75,20
75 x 25 flat,"14,7",75,25
80 x 3 flat,"1,9",80,3
80 x 5 flat,"3,1",80,5
80 x 6 flat,"3,8",80,6
80 x 8 flat,"5,0",80,8
80 x 10 flat,"6,3",80,10
80 x 12 flat,"7,5",80,12
80 x 15 flat,"9,4",80,15
80 x 20 flat,"12,6",80,20
80 x 25 flat,"15,7",80,25
80 x 30 flat,"18,8",80,30
80 x 50 flat,"31,4",80,50
90 x 5 flat,"3,5",90,5
90 x 6 flat,"4,2",90,6
90 x 8 flat,"5,7",90,8
90 x 10 flat,"7,1",90,10
90 x 12 flat,"8,5",90,12
90 x 15 flat,"10,6",90,15
90 x 20 flat,"14,1",90,20
90 x 25 flat,"17,7",90,25
90 x 30 flat,"21,2",90,30
100 x 3 flat,"2,4",100,3
100 x 5 flat,"3,9",100,5
100 x 6 flat,"4,7",100,6
100 x 8 flat,"6,3",100,8
100 x 10 flat,"7,9",100,10
100 x 12 flat,"9,4",100,12
100 x 15 flat,"11,8",100,15
100 x 20 flat,"15,7",100,20
100 x 25 flat,"19,6",100,25
100 x 30 flat,"23,6",100,30
100 x 40 flat,"31,4",100,40
100 x 50 flat,"39,3",100,50
110 x 6 flat,"5,2",110,6
110 x 8 flat,"6,9",110,8
110 x 10 flat,"8,6",110,10
110 x 12 flat,"10,4",110,12
110 x 15 flat,"13,0",110,15
110 x 20 flat,"17,3",110,20
110 x 25 flat,"21,6",110,25
120 x 6 flat,"5,7",120,6
120 x 8 flat,"7,5",120,8
120 x 10 flat,"9,4",120,10
120 x 12 flat,"11,3",120,12
120 x 15 flat,"14,1",120,15
120 x 20 flat,"18,8",120,20
120 x 25 flat,"23,6",120,25
130 x 5 flat,"5,1",130,5
130 x 6 flat,"6,1",130,6
130 x 8 flat,"8,2",130,8
130 x 10 flat,"10,2",130,10
130 x 12 flat,"12,3",130,12
130 x 15 flat,"15,3",130,15
130 x 20 flat,"20,4",130,20
130 x 25 flat,"25,5",130,25
130 x 30 flat,"30,6",130,30
140 x 6 flat,"6,6",140,6
140 x 12 flat,"13,2",140,12
140 x 15 flat,"16,5",140,15
140 x 25 flat,"27,5",140,25
150 x 5 flat,"5,9",150,5
150 x 6 flat,"7,1",150,6
150 x 8 flat,"9,4",150,8
150 x 10 flat,"11,8",150,10
150 x 12 flat,"14,1",150,12
150 x 15 flat,"17,7",150,15
150 x 20 flat,"23,6",150,20
150 x 25 flat,"29,4",150,25
150 x 30 flat,"35,3",150,30
150 x 40 flat,"47,1",150,40
180 x 6 flat,"8,5",180,6
180 x 8 flat,"11,3",180,8
180 x 10 flat,"14,1",180,10
180 x 12 flat,"17,0",180,12
180 x 15 flat,"21,2",180,15
180 x 20 flat,"28,3",180,20
180 x 25 flat,"35,3",180,25
200 x 6 flat,"9,4",200,6
200 x 8 flat,"12,6",200,8
200 x 10 flat,"15,7",200,10
200 x 12 flat,"18,8",200,12
200 x 15 flat,"23,6",200,15
200 x 20 flat,"31,4",200,20
200 x 25 flat,"39,3",200,25
220 x 5 flat,"8,6",220,5
220 x 6 flat,"10,4",220,6
220 x 8 flat,"13,8",220,8
220 x 10 flat,"17,3",220,10
220 x 12 flat,"20,7",220,12
220 x 15 flat,"25,9",220,15
220 x 20 flat,"34,5",220,20
220 x 25 flat,"43,2",220,25
230 x 10 flat,"18,1",230,10
230 x 15 flat,"27,1",230,15
230 x 20 flat,"36,1",230,20
230 x 25 flat,"45,1",230,25
250 x 6 flat,"11,8",250,6
250 x 8 flat,"15,7",250,8
250 x 10 flat,"19,6",250,10
250 x 12 flat,"23,6",250,12
250 x 15 flat,"29,4",250,15
250 x 20 flat,"39,3",250,20
