TYPE,"WEIGHT
(KG/M)","HEIGHT
(MM)","width
(MM)","THICKNESS
(MM)"
20 x 20 x 3 RSA,"0,9",20,20,3
25 x 25 x 3 RSA,"1,1",25,25,3
25 x 25 x 4 RSA,"1,5",25,25,4
25 x 25 x 5 RSA,"1,8",25,25,5
30 x 30 x 3 RSA,"1,4",30,30,3
30 x 30 x 4 RSA,"1,8",30,30,4
30 x 30 x 5 RSA,"2,2",30,30,5
40 x 40 x 3 RSA,"1,8",40,40,3
40 x 40 x 4 RSA,"2,4",40,40,4
40 x 40 x 5 RSA,"3,0",40,40,5
40 x 40 x 6 RSA,"3,5",40,40,6
45 x 45 x 3 RSA,"2,1",45,45,3
45 x 45 x 4 RSA,"2,7",45,45,4
45 x 45 x 5 RSA,"3,4",45,45,5
45 x 45 x 6 RSA,"4,0",45,45,6
50 x 50 x 3 RSA,"2,3",50,30,3
50 x 50 x 4 RSA,"3,1",50,50,4
50 x 50 x 5 RSA,"3,8",50,50,5
50 x 50 x 6 RSA,"4,5",50,50,6
50 x 50 x 8 RSA,"5,8",50,50,8
60 x 60 x 5 RSA,"4,6",60,60,5
60 x 60 x 6 RSA,"5,4",60,60,6
60 x 60 x 8 RSA,"7,1",60,60,8
60 x 60 x 10 RSA,"8,7",60,60,10
70 x 70 x 6 RSA,"6,4",70,70,6
70 x 70 x 8 RSA,"7,4",70,70,7
70 x 70 x 7 RSA,"8,4",70,70,8
70 x 70 x 10 RSA,"10,3",70,70,10
75 x 75 x 6 RSA,"6,9",75,75,6
75 x 75 x 8 RSA,"9,0",75,75,8
80 x 80 x 6 RSA,"7,3",80,80,6
80 x 80 x 8 RSA,"9,6",80,80,8
80 x 80 x 10 RSA,"11,9",80,80,10
90 x 90 x 6 RSA,"8,3",90,90,6
90 x 90 x 7 RSA,"9,6",90,90,7
90 x 90 x 8 RSA,"10,9",90,90,8
90 x 90 x 9 RSA,"12,2",90,90,9
90 x 90 x 10 RSA,"13,4",90,90,10
90 x 90 x 12 RSA,"15,9",90,90,12
100 x 100 x 8 RSA,"12,2",100,100,8
100 x 100 x 10 RSA,"15,0",100,100,10
100 x 100 x 12 RSA,"17,8",100,100,12
100 x 100 x 15 RSA,"21,9",100,100,15
120 x 120 x 8 RSA,"14,7",120,120,8
120 x 120 x 10 RSA,"18,2",120,120,10
120 x 120 x 12 RSA,"21,6",120,120,12
120 x 120 x 15 RSA,"26,6",120,120,15
130 x 130 x 12 RSA,"23,5",130,130,12
150 x 150 x 10 RSA,"23,0",150,150,10
150 x 150 x 12 RSA,"27,3",150,150,12
150 x 150 x 15 RSA,"33,8",150,150,15
150 x 150 x 18 RSA,"40,1",150,150,18
160 x 160 x 15 RSA,"36,2",160,160,15
180 x 180 x 16 RSA,"43,5",180,180,16
180 x 180 x 18 RSA,"48,6",180,180,18
200 x 200 x 16 RSA,"48,5",200,200,16
2200 x 200 x 18 RSA,"54,2",200,200,18
200 x 200 x 20 RSA,"59,9",200,200,20
200 x 200 x 24 RSA,"71,1",200,200,24
250 x 250 x 25 RSA,"93,6",250,250,25
250 x 250 x 28 RSA,"104,0",250,250,28
250 x 250 x 32 RSA,"118,0",250,250,32
250 x 250 x 35 RSA,"128,0",250,250,35
