TYPE,"WEIGHT
(KG/M)","HEIGHT
(MM)","width
(MM)","WALL
THICKNESS
(MM)"
80 x 40 x 3 RHS,5.3,80,40,3
80 x 40 x 3.2 RHS,5.6,80,40,3.2
80 x 40 x 3.6 RHS,6.3,80,40,3.6
80 x 40 x 4 RHS,6.9,80,40,4
80 x 40 x 5 RHS,8.4,80,40,5
80 x 40 x 6 RHS,9.9,80,40,6
80 x 40 x 6.3 RHS,10.3,80,40,6.3
80 x 40 x 8 RHS,12.5,80,40,8
90 x 50 x 3 RHS,6.2,90,50,3
90 x 50 x 3.2 RHS,6.6,90,50,3.2
90 x 50 x 3.6 RHS,7.4,90,50,3.6
90 x 50 x 4 RHS,8.2,90,50,4
90 x 50 x 5 RHS,10,90,50,5
90 x 50 x 6 RHS,11.8,90,50,6
90 x 50 x 6.3 RHS,12.3,90,50,6.3
90 x 50 x 8 RHS,15,90,50,8
100 x 50 x 3 RHS,6.7,100,50,3
100 x 50 x 3.2 RHS,7.1,100,50,3.2
100 x 50 x 3.6 RHS,8,100,50,3.6
100 x 50 x 4 RHS,8.8,100,50,4
100 x 50 x 5 RHS,10.8,100,50,5
100 x 50 x 6 RHS,12.7,100,50,6
100 x 50 x 6.3 RHS,13.3,100,50,6.3
100 x 50 x 8 RHS,16.3,100,50,8
100 x 60 x 3 RHS,7.2,100,60,3
100 x 60 x 3.2 RHS,7.6,100,60,3.2
100 x 60 x 3.6 RHS,8.5,100,60,3.6
100 x 60 x 4 RHS,9.4,100,60,4
100 x 60 x 5 RHS,11.6,100,60,5
100 x 60 x 6 RHS,13.6,100,60,6
100 x 60 x 6.3 RHS,14.2,100,60,6.3
100 x 60 x 8 RHS,17.5,100,60,8
120 x 60 x 3.6 RHS,9.7,120,60,3.6
120 x 60 x 4 RHS,10.7,120,60,4
120 x 60 x 5 RHS,13.1,120,60,5
120 x 60 x 6 RHS,15.5,120,60,6
120 x 60 x 6.3 RHS,16.2,120,60,6.3
120 x 60 x 8 RHS,20.1,120,60,8
120 x 60 x 10 RHS,24.6,120,60,10
120 x 80 x 3.6 RHS,10.8,120,80,3.6
120 x 80 x 4 RHS,11.9,120,80,4
120 x 80 x 5 RHS,14.7,120,80,5
120 x 80 x 6 RHS,17.4,120,80,6
120 x 80 x 6.3 RHS,18.2,120,80,6.3
120 x 80 x 8 RHS,22.6,120,80,8
120 x 80 x 10 RHS,27.4,120,80,10
140 x 80 x 4 RHS,13.2,140,80,4
