TYPE,"WEIGHT
(KG/M)","HEIGHT
(MM)","width
(MM)","WALL
THICKNESS
(MM)"
20 x 20 x 2 SHS,1.1,20,20,2
20 x 20 x 2.5 SHS,1.3,20,20,2.5
25 x 25 x 2 SHS,1.4,25,25,2
25 x 25 x 2.5 SHS,1.7,25,25,2.5
25 x 25 x 3 SHS,2,25,25,3
30 x 30 x 2 SHS,1.7,30,30,2
30 x 30 x 2.5 SHS,2.1,30,30,2.5
30 x 30 x 3 SHS,2.5,30,30,3
40 x 40 x 2.5 SHS,2.9,40,40,2.5
40 x 40 x 3 SHS,3.4,40,40,3
40 x 40 x 3.2 SHS,3.6,40,40,3.2
40 x 40 x 3.6 SHS,4,40,40,3.6
40 x 40 x 4 SHS,4.4,40,40,4
40 x 40 x 5 SHS,5.3,40,40,5
50 x 50 x 2.5 SHS,3.7,50,50,2.5
50 x 50 x 3 SHS,4.4,50,50,3
50 x 50 x 3.2 SHS,4.6,50,50,3.2
50 x 50 x 3.6 SHS,5.1,50,50,3.6
50 x 50 x 4 SHS,5.6,50,50,4
50 x 50 x 5 SHS,6.9,50,50,5
50 x 50 x 6 SHS,8,50,50,6
50 x 50 x 6.3 SHS,8.3,50,50,6.3
60 x 60 x 2.5 SHS,4.5,60,60,2.5
60 x 60 x 3 SHS,5.3,60,60,3
60 x 60 x 3.2 SHS,5.6,60,60,3.2
60 x 60 x 3.6 SHS,6.3,60,60,3.6
60 x 60 x 4 SHS,6.9,60,60,4
60 x 60 x 5 SHS,8.4,60,60,5
60 x 60 x 6 SHS,9.9,60,60,6
60 x 60 x 6.3 SHS,10.3,60,60,6.3
60 x 60 x 8 SHS,12.5,60,60,8
70 x 70 x 3 SHS,6.2,70,70,3
70 x 70 x 3.2 SHS,6.6,70,70,3.2
70 x 70 x 3.6 SHS,7.4,70,70,3.6
70 x 70 x 4 SHS,8.2,70,70,4
70 x 70 x 5 SHS,10,70,70,5
70 x 70 x 6 SHS,11.8,70,70,6
70 x 70 x 6.3 SHS,12.3,70,70,6.3
70 x 70 x 8 SHS,15,70,70,8
80 x 80 x 3 SHS,7.2,80,80,3
80 x 80 x 3.2 SHS,7.6,80,80,3.2
80 x 80 x 3.6 SHS,8.5,80,80,3.6
80 x 80 x 4 SHS,9.4,80,80,4
80 x 80 x 5 SHS,11.6,80,80,5
80 x 80 x 6 SHS,13.6,80,80,6
80 x 80 x 6.3 SHS,14.2,80,80,6.3
80 x 80 x 8 SHS,17.8,80,80,8
90 x 90 x 5 SHS,13.1,90,90,5
90 x 90 x 6 SHS,15.5,90,90,6
90 x 90 x 6.3 SHS,16.2,90,90,6.3
90 x 90 x 8 SHS,20.1,90,90,8
100 x 100 x 3.6 SHS,10.8,100,100,3.6
100 x 100 x 4 SHS,11.9,100,100,4
100 x 100 x 5 SHS,14.7,100,100,5
100 x 100 x 6 SHS,17.4,100,100,6
100 x 100 x 6.3 SHS,18.2,100,100,6.3
100 x 100 x 8 SHS,22.6,100,100,8
100 x 100 x 10 SHS,27.4,100,100,10
120 x 120 x 4 SHS,14.4,120,120,4
120 x 120 x 5 SHS,18,120,120,5
120 x 120 x 6 SHS,21.2,120,120,6
120 x 120 x 6.3 SHS,22.2,120,120,6.3
120 x 120 x 8 SHS,27.6,120,120,8
120 x 120 x 10 SHS,33.7,120,120,10
120 x 120 x 12 SHS,39.5,120,120,12
120 x 120 x 12.5 SHS,40.9,120,120,12.5
140 x 140 x 5 SHS,21,140,140,5
140 x 140 x 6 SHS,24.9,140,140,6
140 x 140 x 6.3 SHS,26.1,140,140,6.3
140 x 140 x 8 SHS,32.6,140,140,8
140 x 140 x 10 SHS,40,140,140,10
140 x 140 x 12 SHS,47,140,140,12
140 x 140 x 12.5 SHS,48.7,140,140,12.5
150 x 150 x 5 SHS,22.6,150,150,5
150 x 150 x 6 SHS,26.8,150,150,6
150 x 150 x 6.3 SHS,28.1,150,150,6.3
150 x 150 x 8 SHS,35.1,150,150,8
150 x 150 x 10 SHS,43.1,150,150,10
150 x 150 x 12 SHS,50.8,150,150,12
150 x 150 x 12.5 SHS,52.7,150,150,12.5
150 x 150 x 16 SHS,65.2,150,150,16
160 x 160 x 5 SHS,24.1,160,160,5
160 x 160 x 6 SHS,28.7,160,160,6
160 x 160 x 6.3 SHS,30.1,160,160,6.3
160 x 160 x 8 SHS,37.6,160,160,8
160 x 160 x 10 SHS,46.3,160,160,10
160 x 160 x 12 SHS,54.6,160,160,12
160 x 160 x 12.5 SHS,56.6,160,160,12.5
160 x 160 x 16 SHS,70.2,160,160,16
180 x 180 x 5 SHS,27.3,180,180,5
180 x 180 x 6 SHS,32.5,180,180,6
180 x 180 x 6.3 SHS,34,180,180,6.3
180 x 180 x 8 SHS,42.7,180,180,8
180 x 180 x 10 SHS,52.5,180,180,10
180 x 180 x 12 SHS,62.1,180,180,12
180 x 180 x 12.5 SHS,64.4,180,180,12.5
180 x 180 x 16 SHS,80.2,180,180,16
200 x 200 x 5 SHS,30.4,200,200,5
200 x 200 x 6 SHS,36.2,200,200,6
200 x 200 x 6.3 SHS,38,200,200,6.3
200 x 200 x 8 SHS,47.7,200,200,8
200 x 200 x 10 SHS,58.8,200,200,10
200 x 200 x 12 SHS,69.6,200,200,12
200 x 200 x 12.5 SHS,72.3,200,200,12.5
200 x 200 x 16 SHS,90.3,200,200,16
220 x 220 x 6 SHS,"40,0",220,220,6
220 x 220 x 6.3 SHS,"41,9",220,220,"6,3"
220 x 220 x 8 SHS,"52,7",220,220,8
220 x 220 x 10 SHS,"65,1",220,220,10
220 x 220 x 12 SHS,"77,2",220,220,12
220 x 220 x 12.5 SHS,"80,1",220,220,"12,5"
220 x 220 x 16 SHS,"100,0",220,220,16
250 x 250 x 5 SHS,"38,3",250,250,5
250 x 250 x 6 SHS,"45,7",250,250,6
250 x 250 x 6.3 SHS,"47,9",250,250,"6,3"
250 x 250 x 8 SHS,"60,3",250,250,8
250 x 250 x 10 SHS,"74,5",250,250,10
250 x 250 x 12 SHS,"88,5",250,250,12
250 x 250 x 12.5 SHS,"91,9",250,250,"12,5"
250 x 250 x 16 SHS,"115,0",250,250,16
260 x 260 x 6 SHS,"47,6",260,260,6
260 x 260 x 6.3 SHS,"49,9",260,260,"6,3"
260 x 260 x 6.3 SHS,"49,9",260,260,"6,3"
260 x 260 x 8 SHS,"62,8",260,260,8
260 x 260 x 10 SHS,"77,7",260,260,10
260 x 260 x 12 SHS,"92,2",260,260,12
260 x 260 x 12.5 SHS,"95,8",260,260,"12,5"
260 x 260 x 16 SHS,"120,0",260,260,16
300 x 300 x 6 SHS,"55,1",300,300,6
300 x 300 x 6.3 SHS,"57,8",300,300,"6,3"
300 x 300 x 8 SHS,"72,8",300,300,8
300 x 300 x 10 SHS,"90,2",300,300,10
300 x 300 x 12 SHS,"107,0",300,300,12
300 x 300 x 12.5 SHS,"112,0",300,300,"12,5"
300 x 300 x 16 SHS,"141,0",300,300,16
350 x 350 x 8 SHS,"85,4",350,350,8
350 x 350 x 10 SHS,"106,0",350,350,10
350 x 350 x 12 SHS,"126,0",350,350,12
350 x 350 x 12.5 SHS,"131,0",350,350,"12,5"
350 x 350 x 16 SHS,"166,0",350,350,16
400 x 400 x 8 SHS,"97,9",400,400,8
400 x 400 x 10 SHS,"122,0",400,400,10
400 x 400 x 12 SHS,"145,0",400,400,12
400 x 400 x 12.5 SHS,"151,0",400,400,"12,5"
400 x 400 x 16 SHS,"191,0",400,400,16
400 x 400 x 20 SHS,"235,0",400,400,20
