TYPE,"WEIGHT
(kg/m)","HEIGHT
(mm)","width
(mm)","WEB
thickness
(mm)","FLANGE
thickness
(mm)"
127 x 79 UB 13,13,127,76,4,7.6
152 x 89 UB 16,16,152.4,88.7,4.5,7.7
178 x 102 UB 19,19,177.8,101.2,4.8,7.9
203 x 102 UB 23,23,203.2,101.8,5.4,9.3
203 x 133 UB 25,25,203.2,133.2,5.7,7.8
203 x 133 UB 30,30,206.8,133.9,6.4,9.6
254 x 102 UB 22,22,254,101.6,5.7,6.8
254 x 102 UB 25,25,257.2,101.9,6,8.4
254 x 102 UB 28,28,260.4,102.2,6.3,10
254 x 146 UB 31,31,251.4,146.1,6,8.6
254 x 146 UB 37,37,256,146.4,6.3,10.9
254 x 146 UB 43,43,259.6,147.3,7.2,12.7
305 x 102 UB 25,25,305.1,101.6,5.8,7
305 x 102 UB 28,28,308.7,101.8,6,8.8
305 x 102 UB 33,33,312.7,102.4,6.6,10.8
305 x 127 UB 37,37,304.4,123.4,7.1,10.7
305 x 127 UB 42,42,307.2,124.3,8,12.1
305 x 127 UB 48,48,311,125.3,9,14
305 x 165 UB 40,40,303.4,165,6,10.2
305 x 165 UB 46,46,306.6,165.7,6.7,11.8
305 x 165 UB 54,54,310.4,166.9,7.9,13.7
356 x 127 UB 33,33,349,125.4,6,8.5
356 x 127 UB 39,39,353.4,126,6.6,10.7
356 x 171 UB 45,45,351.4,171.1,7,9.7
356 x 171 UB 51,51,355,171.5,7.4,11.5
356 x 171 UB 57,57,358,172.2,8.1,13
356 x 171 UB 67,67,363.4,173.2,9.1,15.7
406 x 140 UB 39,39,398,141.8,6.4,8.6
406 x 140 UB 46,46,403.2,142.2,6.8,11.2
406 x 178 UB 54,54,402.6,177.7,7.7,10.9
406 x 178 UB 60,60,406.4,177.9,7.9,12.8
406 x 178 UB 67,67,409.4,178.8,8.8,14.3
406 x 178 UB 74,47,412.8,179.5,9.5,16
457 x 152 UB 52,52,449.8,152.4,7.6,10.9
457 x 152 UB 60,60,454.6,152.9,8.1,13.3
457 x 152 UB 67,67,458,153.8,9,15
457 x 152 UB 74,74,462,154.4,9.6,17
457 x 152 UB 82,82,465.8,155.3,10.5,18.9
457 x 191 UB 67,67,453.4,189.9,8.5,12.7
457 x 191 UB 74,74,457,190.4,9,14.5
457 x 191 UB 82,82,460,191.3,9.9,16
457 x 191 UB 89,89,463.4,191.9,10.5,17.7
457 x 191 UB 98,98,467.2,192.8,11.4,19.6
533 x 210 UB 101,101,536.7,210,10.8,17.4
533 x 210 UB 109,109,539.5,210.8,11.6,18.8
533 x 210 UB 122,122,"544,5","211,9","12,7","21,3"
533 x 210 UB 82,82,"528,3","208,8","9,6","13,2"
533 x 210 UB 92,92,"533,1","209,3","10,1","15,6"
610 x 229 UB 101,101,"602,6","227,6","10,5","14,8"
610 x 229 UB 113,113,"607,6","228,2","11,1","17,3"
610 x 229 UB 125,125,"612,2","229,0","11,9","19,6"
610 x 229 UB 140,140,"617,2","230,2","13,1","22,1"
610 x 305 UB 149,149,"612,4","304,8","11,8","19,7"
610 x 305 UB 179,179,"620,2","307,1","14,1","23,6"
610 x 305 UB 238,238,"635,8","311,4","18,4","31,4"
